ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
669,"For Test",,,20171205,buddyforms,http://qxu1146230063.my3w.com/?buddyforms=for-test,,,,,,,publish,1,for-test,,,0,0,0,closed,closed,20171205
721,Lendings,,,20171205,buddyforms,http://qxu1146230063.my3w.com/?buddyforms=lendings,,,,,,,publish,1,lendings,,,0,0,0,closed,closed,20171205
744,"Points Request",,,20171205,buddyforms,http://qxu1146230063.my3w.com/?buddyforms=points-request,,,,,,,publish,1,points-request,,,0,0,0,closed,closed,20171205
759,"Guest Post",,,20171205,buddyforms,http://qxu1146230063.my3w.com/?buddyforms=guest-post,,,,,,,publish,1,guest-post,,,0,0,0,closed,closed,20171205
